,request_type,starting_time,ending_time,duration,data_size,mtu_size,conn_interval,data,read_requests,read_responses,notifies
384,WRITE_COMMAND Req,2021-06-07 15:05:59.128561,2021-06-07 15:05:59.128561,0,20,64,64,,0,0,0
385,WRITE_COMMAND Req,2021-06-07 15:05:59.128561,2021-06-07 15:05:59.224426,95865,20,64,64,,0,0,0
386,WRITE_COMMAND Rcvd,2021-06-07 15:05:59.224426,2021-06-07 15:05:59.225526,1100,20,64,64,Data Size 20mnopqrstData Size 20mnopqrst,0,0,2
387,WRITE_COMMAND Req,2021-06-07 15:05:59.962230,2021-06-07 15:05:59.962230,0,20,64,64,,0,0,0
388,WRITE_COMMAND Req,2021-06-07 15:05:59.962230,2021-06-07 15:06:00.104215,141985,20,64,64,,0,0,0
389,WRITE_COMMAND Rcvd,2021-06-07 15:06:00.104215,2021-06-07 15:06:00.104772,557,20,64,64,Data Size 20mnopqrstData Size 20mnopqrst,0,0,2
390,WRITE_COMMAND Req,2021-06-07 15:06:00.581846,2021-06-07 15:06:00.581846,0,20,64,64,,0,0,0
391,WRITE_COMMAND Req,2021-06-07 15:06:00.581846,2021-06-07 15:06:00.664211,82365,20,64,64,,0,0,0
392,WRITE_COMMAND Rcvd,2021-06-07 15:06:00.664211,2021-06-07 15:06:00.665320,1109,20,64,64,Data Size 20mnopqrstData Size 20mnopqrst,0,0,2
393,WRITE_COMMAND Req,2021-06-07 15:06:04.414254,2021-06-07 15:06:04.414254,0,32,64,64,,0,0,0
394,WRITE_COMMAND Req,2021-06-07 15:06:04.414254,2021-06-07 15:06:04.504907,90653,32,64,64,,0,0,0
395,WRITE_COMMAND Rcvd,2021-06-07 15:06:04.504907,2021-06-07 15:06:04.505751,844,32,64,64,Data Size 32mnopqrstuvwxyzabcdefData Size 32mnopqrstuvwxyzabcdef,0,0,2
396,WRITE_COMMAND Req,2021-06-07 15:06:05.011114,2021-06-07 15:06:05.011114,0,32,64,64,,0,0,0
397,WRITE_COMMAND Req,2021-06-07 15:06:05.011114,2021-06-07 15:06:05.224271,213157,32,64,64,,0,0,0
398,WRITE_COMMAND Rcvd,2021-06-07 15:06:05.224271,2021-06-07 15:06:05.226130,1859,32,64,64,Data Size 32mnopqrstuvwxyzabcdefData Size 32mnopqrstuvwxyzabcdef,0,0,2
399,WRITE_COMMAND Req,2021-06-07 15:06:05.680388,2021-06-07 15:06:05.680388,0,32,64,64,,0,0,0
400,WRITE_COMMAND Req,2021-06-07 15:06:05.680388,2021-06-07 15:06:05.784197,103809,32,64,64,,0,0,0
401,WRITE_COMMAND Rcvd,2021-06-07 15:06:05.784197,2021-06-07 15:06:05.789163,4966,32,64,64,Data Size 32mnopqrstuvwxyzabcdefData Size 32mnopqrstuvwxyzabcdef,0,0,2
402,WRITE_COMMAND Req,2021-06-07 15:06:09.996138,2021-06-07 15:06:09.996138,0,64,64,64,,0,0,0
403,WRITE_COMMAND Req,2021-06-07 15:06:09.996138,2021-06-07 15:06:10.104136,107998,64,64,64,,0,0,0
404,WRITE_COMMAND Rcvd,2021-06-07 15:06:10.104136,2021-06-07 15:06:10.106511,2375,64,64,64,Data Size 64mnopqrstuvwxyzabcdefghijData Size 64mnopqrstuvwxyzabcdefghijjkljkl,0,0,4
405,WRITE_COMMAND Req,2021-06-07 15:06:10.728049,2021-06-07 15:06:10.728049,0,64,64,64,,0,0,0
406,WRITE_COMMAND Req,2021-06-07 15:06:10.728049,2021-06-07 15:06:10.824437,96388,64,64,64,,0,0,0
407,WRITE_COMMAND Rcvd,2021-06-07 15:06:10.824437,2021-06-07 15:06:10.826601,2164,64,64,64,Data Size 64mnopqrstuvwxyzabcdefghijData Size 64mnopqrstuvwxyzabcdefghijjkljkl,0,0,4
408,WRITE_COMMAND Req,2021-06-07 15:06:11.448778,2021-06-07 15:06:11.448778,0,64,64,64,,0,0,0
409,WRITE_COMMAND Req,2021-06-07 15:06:11.448778,2021-06-07 15:06:11.544107,95329,64,64,64,,0,0,0
410,WRITE_COMMAND Rcvd,2021-06-07 15:06:11.544107,2021-06-07 15:06:11.546353,2246,64,64,64,Data Size 64mnopqrstuvwxyzabcdefghijData Size 64mnopqrstuvwxyzabcdefghijjkljkl,0,0,4
411,WRITE_COMMAND Req,2021-06-07 15:06:15.861823,2021-06-07 15:06:15.861823,0,128,64,64,,0,0,0
412,WRITE_COMMAND Req,2021-06-07 15:06:15.861823,2021-06-07 15:06:16.024170,162347,128,64,64,,0,0,0
413,WRITE_COMMAND Rcvd,2021-06-07 15:06:16.024170,2021-06-07 15:06:16.028734,4564,128,64,64,Data Size 128nopqrstuvwxyzabcdefghijData Size 128nopqrstuvwxyzabcdefghijjklmnopqrstuvwxyzabcdefghijklmnopqrsjklmnopqrstuvwxyzabcdefghijklmnopqrsstuvwxstuvwx,0,0,6
414,WRITE_COMMAND Req,2021-06-07 15:06:16.624619,2021-06-07 15:06:16.624619,0,128,64,64,,0,0,0
415,WRITE_COMMAND Req,2021-06-07 15:06:16.624619,2021-06-07 15:06:16.744258,119639,128,64,64,,0,0,0
416,WRITE_COMMAND Rcvd,2021-06-07 15:06:16.744258,2021-06-07 15:06:16.747930,3672,128,64,64,Data Size 128nopqrstuvwxyzabcdefghijData Size 128nopqrstuvwxyzabcdefghijjklmnopqrstuvwxyzabcdefghijklmnopqrsjklmnopqrstuvwxyzabcdefghijklmnopqrsstuvwxstuvwx,0,0,6
417,WRITE_COMMAND Req,2021-06-07 15:06:17.331800,2021-06-07 15:06:17.331800,0,128,64,64,,0,0,0
418,WRITE_COMMAND Req,2021-06-07 15:06:17.331800,2021-06-07 15:06:17.464135,132335,128,64,64,,0,0,0
419,WRITE_COMMAND Rcvd,2021-06-07 15:06:17.464135,2021-06-07 15:06:17.468133,3998,128,64,64,Data Size 128nopqrstuvwxyzabcdefghijData Size 128nopqrstuvwxyzabcdefghijjklmnopqrstuvwxyzabcdefghijklmnopqrsjklmnopqrstuvwxyzabcdefghijklmnopqrsstuvwxstuvwx,0,0,6
420,WRITE_COMMAND Req,2021-06-07 15:06:21.955067,2021-06-07 15:06:21.955067,0,256,64,64,,0,0,0
421,WRITE_COMMAND Req,2021-06-07 15:06:21.955067,2021-06-07 15:06:22.104092,149025,256,64,64,,0,0,0
